,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,15,79,7,83,19,98,93,22,57,96,38,64,45,100,35,84,79,94,97,92,61,81,12,40,70,49,92,95,65,50,0,58,13,32,84,40,52,58,48,84,4,80,19,31,24,5,27,62,18,75
31,41,13,35,64,15,18,11,97,81,38,95,22,36,54,40,37,72,16,28,8,57,57,97,97,7,84,29,34,34,86,58,0,30,51,64,66,6,70,63,12,10,47,39,94,43,66,13,22,75,92
32,22,29,80,19,64,68,56,17,10,85,4,11,45,40,91,25,14,9,44,3,29,87,83,29,25,3,72,32,66,92,13,30,0,44,34,16,31,54,33,80,71,3,52,54,47,91,37,29,13,11
33,45,83,96,80,82,97,39,36,66,9,30,98,83,70,100,42,75,69,48,53,28,84,12,61,85,46,34,57,86,52,32,51,44,0,88,75,3,77,23,78,8,25,69,47,73,92,49,95,35,33
34,62,92,48,14,47,62,37,36,75,74,70,96,24,12,59,32,65,96,3,26,76,49,31,71,50,71,91,61,91,76,84,64,34,88,0,85,44,38,84,45,31,72,30,75,88,10,16,28,6,11
35,77,77,78,21,38,28,75,16,1,45,7,68,89,44,11,81,27,63,77,2,11,46,71,87,28,94,81,67,93,53,40,66,16,75,85,0,38,63,58,61,37,28,81,38,48,14,3,19,70,11
36,80,8,52,57,58,72,20,16,32,53,87,11,49,48,44,20,69,55,49,42,72,18,45,58,91,81,27,43,50,2,52,6,31,3,44,38,0,93,15,3,29,10,36,1,81,22,32,18,52,82
37,47,46,17,15,9,24,3,19,4,6,46,68,47,56,32,5,83,15,54,48,60,66,61,19,14,17,20,91,14,25,58,70,54,77,38,63,93,0,20,87,43,97,68,30,69,31,30,17,99,81
38,68,33,51,37,72,78,69,44,33,38,65,57,69,95,42,42,33,3,94,26,63,15,60,39,99,83,32,39,80,30,48,63,33,23,84,58,15,20,0,46,17,32,60,100,67,12,93,101,46,71
39,2,97,73,8,2,71,1,49,58,25,50,94,14,46,83,38,42,80,80,92,75,45,92,42,17,85,9,12,37,56,84,12,80,78,45,61,3,87,46,0,73,26,60,45,21,60,97,89,3,8
40,20,50,99,75,61,63,51,77,71,77,60,1,9,54,16,88,74,76,19,5,81,59,98,53,94,49,11,41,23,69,4,10,71,8,31,37,29,43,17,73,0,1,36,75,100,61,53,63,12,1
41,20,66,54,101,42,50,82,63,36,42,4,8,60,9,68,46,29,50,74,25,46,47,93,59,47,1,94,40,26,90,80,47,3,25,72,28,10,97,32,26,1,0,98,28,28,72,3,65,76,16
42,86,69,33,94,68,45,17,9,40,35,31,99,59,53,56,46,88,68,96,8,87,48,97,77,32,99,42,25,46,71,19,39,52,69,30,81,36,68,60,60,36,98,0,29,8,71,10,19,91,84
43,13,78,47,49,21,83,33,14,56,14,80,37,100,19,96,3,14,80,12,37,55,10,100,55,11,52,57,97,56,97,31,94,54,47,75,38,1,30,100,45,75,28,29,0,39,93,95,19,80,12
44,59,82,56,95,35,38,63,69,75,83,19,87,39,98,18,27,11,92,28,87,3,85,62,75,44,22,28,19,47,27,24,43,47,73,88,48,81,69,67,21,100,28,8,39,0,44,96,67,33,45
45,101,62,15,73,47,20,47,32,77,42,72,24,59,9,27,79,22,16,43,9,19,56,28,77,54,27,83,75,64,39,5,66,91,92,10,14,22,31,12,60,61,72,71,93,44,0,4,54,73,54
46,45,29,99,37,13,86,57,38,67,22,92,24,77,90,7,60,63,15,29,37,10,82,86,53,72,43,6,43,91,63,27,13,37,49,16,3,32,30,93,97,53,3,10,95,96,4,0,9,41,2
47,97,69,29,24,36,6,32,41,82,53,99,76,26,96,73,86,10,71,40,58,72,8,98,74,66,82,43,12,64,98,62,22,29,95,28,19,18,17,101,89,63,65,19,19,67,54,9,0,85,86
48,39,32,70,64,3,36,79,101,67,46,4,92,69,94,9,68,28,18,8,11,41,10,82,3,101,96,25,101,19,46,18,75,13,35,6,70,52,99,46,3,12,76,91,80,33,73,41,85,0,11
49,24,69,36,30,67,2,2,62,85,84,27,63,84,64,99,80,31,16,96,44,76,77,6,10,9,30,39,22,91,85,75,92,11,33,11,11,82,81,71,8,1,16,84,12,45,54,2,86,11,0
